Category,Description
1,physician Family and General Practitioners Hospitals
1,clinic medical assistant Medical Assistants Administration of Human Resource Programs 
1,radiology supervisor lead technical Radiologic Technologists Ambulatory Health Care Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Hospitals
1,physician Family and General Practitioners Ambulatory Health Care Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
1,registered nurse surgery Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
3,market manager Marketing manager Beverage and Tobacco Product Manufacturing
1,network engineer Network and Computer Systems Administrators Broadcasting (except Internet)
2,"route sales driver large Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
1,physician Family and General Practitioners Administration of Human Resource Programs 
1,physician Family and General Practitioners Administration of Human Resource Programs 
1,packaging operator Packaging and Filling Machine Operators and Tenders Beverage and Tobacco Product Manufacturing
1,security specialist hsd Security Management Specialists Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,headend technician Pharmacy Technicians Broadcasting (except Internet)
2,government business development manager Sales manager Furniture and Related Product Manufacturing
1,"senior vice president digital magazine act Chief Executives Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
3,marketing promoter Demonstrators and Product Promoters Beverage and Tobacco Product Manufacturing
1,"work cell operator Production Workers, All Other Furniture and Related Product Manufacturing"
1,"senior negotiator Business Operations Specialists, All Other Professional, Scientific, and Technical Services"
1,"forklift operator cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Hospitals
2,store specialist Retail Loss Prevention Specialists Broadcasting (except Internet)
1,"alb quality control inspector Inspectors, Testers, Sorters, Samplers, and Weighers Merchant Wholesalers, Nondurable Goods "
2,"associate Retail Salespersons Professional, Scientific, and Technical Services"
2,"route sales driver large Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
2,"vice president Chief Executives Professional, Scientific, and Technical Services"
1,"designer Graphic Designers Professional, Scientific, and Technical Services"
1,"packaging operator plant Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
3,senior marketing manager Marketing manager Broadcasting (except Internet)
1,nurse manager Clinical Nurse Specialists Hospitals
2,"sales support analyst Sales and Related Workers, All Other Broadcasting (except Internet)"
1,senior art director Art Directors Administrative and Support Services
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Hospitals
1,registered nurse Registered Nurse Administration of Human Resource Programs 
1,paramedic Emergency Medical Technicians and Paramedics Hospitals
1,clinical coordinator Clinical Nurse Specialists Administration of Human Resource Programs 
1,"assist negotiator local act Business Operations Specialists, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,"veterinarian Veterinarians Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,system technician ii Network and Computer Systems Administrators Broadcasting (except Internet)
3,director strategic program management Marketing manager Broadcasting (except Internet)
1,physician Family and General Practitioners Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,vice president Chief Executives Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"fleet maintenance mechanical ii First-Line Supervisors of Mechanics, Installers, and Repairers Merchant Wholesalers, Nondurable Goods "
1,ct technician Radiologic Technicians Hospitals
1,physician Family and General Practitioners Hospitals
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
2,"retail sales manager First-Line Supervisors of Retail Sales Workers Professional, Scientific, and Technical Services"
1,utility Customer Service Representatives Furniture and Related Product Manufacturing
1,registered nurse Registered Nurse Administration of Human Resource Programs 
1,"machine operator ii ww Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,"producer Producers Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,mental health technician Psychiatric Technicians Administration of Human Resource Programs 
1,clinic registered nurse Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,group director Social and Community Service manager Administrative and Support Services
1,registered nurse Registered Nurse Administration of Human Resource Programs 
3,associate brand manager Marketing manager Administrative and Support Services
1,phlebotomist Phlebotomists Administration of Human Resource Programs 
1,controller Treasurers and Controllers Furniture and Related Product Manufacturing
1,pharmacy technician Pharmacy Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"senior operations analyst Operations Research Analysts Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinic ancillary lab xray Radiologic Technologists Ambulatory Health Care Services
1,product engineer ii Sales Engineers Furniture and Related Product Manufacturing
1,registered nurse medical surg Registered Nurse Administration of Human Resource Programs 
2,"relationship manager Sales manager Professional, Scientific, and Technical Services"
1,registered nurse surgery Registered Nurse Administration of Human Resource Programs 
1,medical laboratory technician Medical and Clinical Laboratory Technicians Administration of Human Resource Programs 
3,associate vice president brand management Marketing manager Administrative and Support Services
1,technician Pharmacy Technicians Administration of Human Resource Programs 
1,"junior analyst Management Analysts Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,pharmacist staff Pharmacists Hospitals
1,phlebotomist Phlebotomists Hospitals
1,patient care technician certified nurse aide prn Nursing Assistants Administration of Human Resource Programs 
1,"media planner Media and Communication Workers, All Other Administrative and Support Services"
1,senior copywriter Copy Writers Administrative and Support Services
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"wet painter Painters, Construction and Maintenance Furniture and Related Product Manufacturing"
3,senior director region trd marketing Marketing manager Beverage and Tobacco Product Manufacturing
1,"wet painter Painters, Construction and Maintenance Furniture and Related Product Manufacturing"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"producer Producers Professional, Scientific, and Technical Services"
1,system technician ii Network and Computer Systems Administrators Broadcasting (except Internet)
1,respiratory therapist registered respiratory therapist Respiratory Therapists Hospitals
3,account manager trade marketing Marketing manager Beverage and Tobacco Product Manufacturing
1,ct technician Radiologic Technicians Administration of Human Resource Programs 
1,"director Chief Executives Professional, Scientific, and Technical Services"
2,supervisor direct sales mdu First-Line Supervisors of Non-Retail Sales Workers Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,manager alt revenue sales Sales manager Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,staff registered nurse prn Registered Nurse Hospitals
2,"route delivery relief person lg Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
1,charge nurse Registered Nurse Hospitals
1,respiratory therapist registered respiratory therapist Respiratory Therapists Administration of Human Resource Programs 
2,group executive producer Insurance Sales Agents Administrative and Support Services
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,kaizan technician Pharmacy Technicians Furniture and Related Product Manufacturing
1,senior vice president Chief Executives Administrative and Support Services
1,nurse case manager Registered Nurse Administration of Human Resource Programs 
1,emergency room technician Emergency Medical Technicians and Paramedics Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,respiratory therapist registered respiratory therapist Respiratory Therapists Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,medical surg registered nurse Registered Nurse Hospitals
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
1,cardiovascular techno Cardiovascular Technologists and Technicians Administration of Human Resource Programs 
1,"general warehouse associate Stock Clerks- Stockroom, Warehouse, or Storage Yard Merchant Wholesalers, Nondurable Goods "
1,"product puller Order Fillers, Wholesale and Retail Sales Merchant Wholesalers, Nondurable Goods "
1,charge nurse Registered Nurse Administration of Human Resource Programs 
1,"blowmold operator Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic Merchant Wholesalers, Nondurable Goods "
1,"forklift operator cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
3,strategic program manager Marketing manager Furniture and Related Product Manufacturing
1,phy therapist Physical Therapists Hospitals
1,technician Pharmacy Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,charge nurse Registered Nurse Administration of Human Resource Programs 
2,hp field sales First-Line Supervisors of Non-Retail Sales Workers Administrative and Support Services
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,regional manager Sales manager Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
1,"packaging operator plant Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
3,"associate brand manager Marketing manager Professional, Scientific, and Technical Services"
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,"negotiator Business Operations Specialists, All Other Administrative and Support Services"
1,assistant deli manager First-Line Supervisors of Food Preparation and Serving Workers Food and Beverage Stores 
1,medical technologist ii Medical and Clinical Laboratory Technologists Hospitals
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,network engineer iii Network and Computer Systems Administrators Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Hospitals
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
1,"warehouse supervisor First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators Merchant Wholesalers, Nondurable Goods "
1,ivo certified respiratory therapist operator Respiratory Therapists Beverage and Tobacco Product Manufacturing
3,account manager trade marketing Marketing manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
2,director ad sales Sales manager Broadcasting (except Internet)
1,occupational therapist Occupational Therapists Hospitals
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
1,team manager General and Operations manager Administrative and Support Services
1,project manager operation General and Operations manager Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,director business planning Administrative Services manager Broadcasting (except Internet)
1,magnetic resonance imaging technical Magnetic Resonance Imaging Technologists Ambulatory Health Care Services
2,senior account manager Sales manager Administrative and Support Services
1,lead specialist packing Clinical Nurse Specialists Beverage and Tobacco Product Manufacturing
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,physician Family and General Practitioners Administration of Human Resource Programs 
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
1,medical technologist Medical and Clinical Laboratory Technologists Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"senior vice president account director Sales manager Professional, Scientific, and Technical Services"
2,"senior account manager Sales manager Professional, Scientific, and Technical Services"
1,registered nurse medical surg Registered Nurse Administration of Human Resource Programs 
1,"can lift operator Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
3,business development manager Marketing manager Furniture and Related Product Manufacturing
1,"design director Art Directors Professional, Scientific, and Technical Services"
2,"bmb regional sales manager Sales manager Merchant Wholesalers, Nondurable Goods "
1,machine operator Packaging and Filling Machine Operators and Tenders Furniture and Related Product Manufacturing
1,sonographer Diagnostic Medical Sonographers Hospitals
1,nurse manager Clinical Nurse Specialists Hospitals
1,dnt network specialist Computer Network Support Specialists Broadcasting (except Internet)
1,certified nursing assistant ii Nursing Assistants Administration of Human Resource Programs 
1,"strategist Market Research Analysts and Marketing Specialists Professional, Scientific, and Technical Services"
1,"management supervisor First-Line Supervisors of Retail Sales Workers Professional, Scientific, and Technical Services"
1,clinic ancillary lab xray Radiologic Technologists Hospitals
1,senior manager cmts operations General and Operations manager Broadcasting (except Internet)
1,mental health technician Psychiatric Technicians Hospitals
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
3,account manager trade marketing Marketing manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
3,director brand creative strategy Marketing manager Broadcasting (except Internet)
1,system technician ii Network and Computer Systems Administrators Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,business development manager Marketing manager Furniture and Related Product Manufacturing
1,dnt network engineer ii Network and Computer Systems Administrators Broadcasting (except Internet)
1,housekeeper Maids and Housekeeping Cleaners Hospitals
1,"delivery driver Light Truck or Delivery Services Drivers Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,operating room technician cert licensed practical nurse Licensed Practical and Licensed Vocational Nurse Hospitals
1,"maintenance non mechanic Maintenance and Repair Workers, General Merchant Wholesalers, Nondurable Goods "
1,"analyst Management Analysts Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Beverage and Tobacco Product Manufacturing"
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,sales engineer carrier account Sales Engineers Broadcasting (except Internet)
1,hospitalist physician Hospitalists Hospitals
1,"media planner Media and Communication Workers, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,machine operator Packaging and Filling Machine Operators and Tenders Furniture and Related Product Manufacturing
1,physician Family and General Practitioners Administration of Human Resource Programs 
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"associate creative director copy Art Directors Professional, Scientific, and Technical Services"
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,control room specialist prim lower Pest Control Workers Beverage and Tobacco Product Manufacturing
1,"machine cell operator non computer numerical control Computer-Controlled Machine Tool Operators, Metal and Plastic Furniture and Related Product Manufacturing"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"gl flow coordinator Production, Planning, and Expediting Clerks Furniture and Related Product Manufacturing"
1,"data analyst senior Financial Analysts Professional, Scientific, and Technical Services"
2,"associate Retail Salespersons Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"studio operator Broadcast Technicians Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse Registered Nurse Administration of Human Resource Programs 
1,patient care technician certified nurse aide prn Nursing Assistants Administration of Human Resource Programs 
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,"quality assurance technician Industrial Engineering Technicians Merchant Wholesalers, Nondurable Goods "
1,respiratory therapist certified respiratory therapist Respiratory Therapists Hospitals
2,"account associate Retail Salespersons Professional, Scientific, and Technical Services"
1,"media planner Media and Communication Workers, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"warehouse person Laborers and Freight, Stock, and Material Movers, Hand Broadcasting (except Internet)"
1,emergency room technician Emergency Medical Technicians and Paramedics Administration of Human Resource Programs 
1,physician Family and General Practitioners Ambulatory Health Care Services
1,respiratory therapist respiratory care practitioner Respiratory Therapists Hospitals
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
1,certified nursing assistant ii Nursing Assistants Administration of Human Resource Programs 
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,"senior associate Retail Salespersons Professional, Scientific, and Technical Services"
1,ct technician Radiologic Technicians Hospitals
1,radiology technician lead Radiologic Technicians Administration of Human Resource Programs 
1,electrocardiographic Cardiovascular Technologists and Technicians Administration of Human Resource Programs 
3,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,medical surg registered nurse Registered Nurse Hospitals
1,"order assembly pick load distance Stock Clerks- Stockroom, Warehouse, or Storage Yard Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,ct technician Radiologic Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"loader Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,"branch manager General and Operations manager Merchant Wholesalers, Nondurable Goods "
1,mental health technician Psychiatric Technicians Administration of Human Resource Programs 
1,behavioral health manager psychiatric Medical and Health Services manager Administration of Human Resource Programs 
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,national account manager cb Sales manager Broadcasting (except Internet)
1,"fleet maintenance mechanical ii First-Line Supervisors of Mechanics, Installers, and Repairers Merchant Wholesalers, Nondurable Goods "
1,certified nursing assistant Nursing Assistants Hospitals
1,mnt technical ii electrician Electricians Beverage and Tobacco Product Manufacturing
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
1,"work cell operator Production Workers, All Other Furniture and Related Product Manufacturing"
1,radiology technician lead Radiologic Technicians Administration of Human Resource Programs 
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinical manager Medical and Health Services manager Administration of Human Resource Programs 
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,radiology technician lead Radiologic Technicians Hospitals
1,"machine cell operator iii computer numerical control utility Computer-Controlled Machine Tool Operators, Metal and Plastic Furniture and Related Product Manufacturing"
1,ct technician Radiologic Technicians Hospitals
1,seasonal registered nurse Registered Nurse Hospitals
1,senior area manager General and Operations manager Beverage and Tobacco Product Manufacturing
1,pharmacist staff Pharmacists Hospitals
1,"senior producer Producers Professional, Scientific, and Technical Services"
1,clinical manager Medical and Health Services manager Administration of Human Resource Programs 
1,occupational therapist Occupational Therapists Hospitals
1,"order assembly pick load coolr Stock Clerks- Stockroom, Warehouse, or Storage Yard Merchant Wholesalers, Nondurable Goods "
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,surgery registered nurse charge Registered Nurse Administration of Human Resource Programs 
1,staff registered nurse prn Registered Nurse Hospitals
1,"blowmold operator Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic Merchant Wholesalers, Nondurable Goods "
1,"senior utility operator cooler Cooling and Freezing Equipment Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
1,operating room technician Surgical Technologists Administration of Human Resource Programs 
1,"quality assurance technician Industrial Engineering Technicians Merchant Wholesalers, Nondurable Goods "
2,"retail sales associate Retail Salespersons Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"junior negotiator Business Operations Specialists, All Other Professional, Scientific, and Technical Services"
1,registered nurse medical surg Registered Nurse Hospitals
1,"machine operator ww Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,customer sales service cntr representative Retail Salespersons Broadcasting (except Internet)
3,senior partner Marketing manager Administrative and Support Services
1,patient care technical Licensed Practical and Licensed Vocational Nurse Administrative and Support Services
1,care plan manager Medical and Health Services manager Ambulatory Health Care Services
